Original_function_call;input_dir_tif;input_file_czi;cilium_color;nucleus_color;projection_method_for_threshold_calculation;threshold_by_density_of_cilium_pixels;threshold_find;threshold_connect;vicinity_combine;vicinity_connect;min_cilium_area_in_pixels;max_cilium_area_in_pixels;number_size_factor;pixel_size;slice_distance;nuc_mask_width_height_in_pixels
detectCilia::detectCilia(input_file_czi = input_files[i]);NA;Rscripts/detectCilia/czifiles/210301_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_100x_z-stack_5_1024x1024.czi;red;blue;max;TRUE;0,0470588235294118;0,00470588235294117;9;1;13;262;NA;0,1383776368273065;0,281000000000000;327
detectCilia::detectCilia(input_file_czi = input_files[i]);NA;Rscripts/detectCilia/czifiles/210301_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_z-stack_1_1024x1024.czi;red;blue;max;TRUE;0,2431372549019608;0,02431372549019608;6;1;5;104;NA;0,2196470425830263;0,429804210436651;207
detectCilia::detectCilia(input_file_czi = input_files[i]);NA;czifiles/210301_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_z-stack_1_2048x2048.czi;red;blue;max;TRUE;0,0705882352941176;0,00705882352941176;11;2;20;415;NA;0,1098235212915131;0,429804210436651;411
detectCilia::detectCilia(input_file_czi = input_files[i]);NA;Rscripts/detectCilia/czifiles/210301_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_z-stack_2_1024x1024.czi;red;blue;max;TRUE;0,1372549019607843;0,01372549019607843;6;1;5;104;NA;0,2196470425830263;0,281000000000000;207
detectCilia::detectCilia(input_file_czi = input_files[i]);NA;czifiles/210301_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_z-stack_2_2048x2048.czi;red;blue;max;TRUE;0,1764705882352941;0,01764705882352941;11;2;20;415;NA;0,1098235212915131;0,281000000000000;411
detectCilia::detectCilia(input_file_czi = input_files[i]);NA;Rscripts/detectCilia/czifiles/210301_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_z-stack_3_1024x1024.czi;red;blue;max;TRUE;0,1019607843137255;0,01019607843137255;6;1;5;104;NA;0,2196470425830263;0,281000000000000;207
detectCilia::detectCilia(input_file_czi = input_files[i]);NA;czifiles/210301_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_z-stack_3_4096x4096.czi;red;blue;max;TRUE;0,1764705882352941;0,01764705882352941;21;4;82;1659;NA;0,0549117606457565;0,281000000000000;822
detectCilia::detectCilia(input_file_czi = input_files[i]);NA;Rscripts/detectCilia/czifiles/210301_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_z-stack_4_1024x1024.czi;red;blue;max;TRUE;0,1607843137254902;0,01607843137254902;6;1;5;104;NA;0,2196470425830263;0,281000000000000;207
detectCilia::detectCilia(input_file_czi = input_files[i]);NA;czifiles/210301_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_z-stack_4_2048x2048.czi;red;blue;max;TRUE;0,1843137254901961;0,01843137254901961;11;2;20;415;NA;0,1098235212915131;0,281000000000000;411
detectCilia::detectCilia(input_file_czi = input_files[i]);NA;czifiles/210301_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_z-stack_4_4096x4096.czi;red;blue;max;TRUE;0,1176470588235294;0,01176470588235294;21;4;82;1659;NA;0,0549117606457565;0,281000000000000;822
